,Date,Sum of Sales
194,2011-09-21,21120.809999999998
195,2011-09-28,22072.090000000004
196,2011-10-05,59791.72
197,2011-10-12,25195.970000000005
198,2011-10-19,22882.25
199,2011-10-26,40405.3
200,2011-11-02,63066.49
201,2011-11-09,81109.24
202,2011-11-16,111205.32000000002
203,2011-11-23,49096.68
204,2011-11-30,44318.0
205,2011-12-07,37744.89
206,2011-12-14,36086.63
207,2011-12-21,31464.04
208,2011-12-28,25259.380000000005
209,2012-01-04,19715.010000000002
210,2012-01-11,20467.190000000002
211,2012-01-18,18691.97
212,2012-01-25,28565.309999999998
213,2012-02-01,28597.390000000003
214,2012-02-08,48174.7
215,2012-02-15,23712.69
216,2012-02-22,25680.66
217,2012-02-29,23047.329999999998
218,2012-03-07,13376.630000000001
219,2012-03-14,17690.18
220,2012-03-21,24418.100000000002
221,2012-03-28,14146.48
222,2012-04-04,20751.659999999996
223,2012-04-11,80499.94
224,2012-04-18,34229.6
225,2012-04-25,57715.729999999996
226,2012-05-02,24719.8
227,2012-05-09,26302.140000000003
228,2012-05-16,19363.04
229,2012-05-23,50756.69
230,2012-05-30,15451.2
231,2012-06-06,21278.379999999997
232,2012-06-13,21828.34
233,2012-06-20,4524.43
234,2012-06-27,72237.30000000002
235,2012-07-04,231783.75
236,2012-07-11,100772.86
237,2012-07-18,175999.31
238,2012-07-25,95145.12999999999
239,2012-08-01,61251.02
240,2012-08-08,154826.84999999998
241,2012-08-15,27167.14
242,2012-08-22,27857.93
243,2012-08-29,36346.96
244,2012-09-05,29516.440000000002
245,2012-09-12,72794.55
246,2012-09-19,63131.97
247,2012-09-26,45051.78
248,2012-10-03,24762.26
249,2012-10-10,51637.590000000004
250,2012-10-17,33238.01
251,2012-10-24,35469.34
252,2012-10-31,31848.29
253,2012-11-07,21430.4
254,2012-11-14,29540.54
255,2012-11-21,53068.71
256,2012-11-28,122012.37
257,2012-12-05,490940.3
258,2012-12-12,168572.40000000002
259,2012-12-19,58033.1
260,2012-12-26,66481.41
261,2013-01-02,34267.310000000005
262,2013-01-09,75864.23000000001
263,2013-01-16,78809.04000000001
264,2013-01-23,56692.03
265,2013-01-30,106133.98
266,2013-02-06,58927.75
267,2013-02-13,48909.31999999999
268,2013-02-20,59868.33
269,2013-02-27,47872.99
270,2013-03-06,43208.049999999996
271,2013-03-13,45699.95
272,2013-03-20,72484.90999999999
273,2013-03-27,117252.66
274,2013-04-03,46574.42999999999
275,2013-04-10,63200.13
276,2013-04-17,48766.86
277,2013-04-24,39024.850000000006
278,2013-05-01,46067.34999999999
279,2013-05-08,21635.239999999998
280,2013-05-15,48059.56
281,2013-05-22,49574.81
282,2013-05-29,68451.18
283,2013-06-05,43796.38
284,2013-06-12,65966.7
285,2013-06-19,36790.22
286,2013-06-26,39845.66
287,2013-07-03,32729.19
288,2013-07-10,21620.730000000003
289,2013-07-17,28610.17
290,2013-07-24,30177.55
291,2013-07-31,33941.44
292,2013-08-07,28717.559999999998
293,2013-08-14,24180.320000000003
294,2013-08-21,36776.159999999996
295,2013-08-28,31471.41
296,2013-09-04,22847.61
297,2013-09-11,35001.6
298,2013-09-18,35230.77
299,2013-09-25,30516.01
300,2013-10-02,23522.6
301,2013-10-09,35018.72
302,2013-10-16,27094.19
303,2013-10-23,37700.350000000006
304,2013-10-30,54752.270000000004
305,2013-11-06,22393.000000000004
306,2013-11-13,29296.539999999994
307,2013-11-20,144321.75
308,2013-11-27,135305.96
309,2013-12-04,30397.889999999996
310,2013-12-11,66209.71
311,2013-12-18,34733.57
312,2013-12-25,54370.329999999994
313,2014-01-01,35924.729999999996
314,2014-01-08,48489.54
315,2014-01-15,56933.97
316,2014-01-22,62363.590000000004
317,2014-01-29,42614.96
318,2014-02-05,35301.67999999999
319,2014-02-12,28747.099999999995
320,2014-02-19,36915.36
321,2014-02-26,34321.08
322,2014-03-05,68042.37
323,2014-03-12,39359.21
324,2014-03-19,50967.78
325,2014-03-26,42830.32
326,2014-04-02,110476.68999999999
327,2014-04-09,34683.479999999996
328,2014-04-16,47648.490000000005
329,2014-04-23,29902.98
330,2014-04-30,46002.78
331,2014-05-07,36941.11
332,2014-05-14,62057.509999999995
333,2014-05-21,49648.56999999999
334,2014-05-28,59252.159999999996
335,2014-06-04,33112.91
336,2014-06-11,37232.82
337,2014-06-18,59982.97
338,2014-06-25,26892.21
339,2014-07-02,30232.39
340,2014-07-09,21976.17
341,2014-07-16,75149.11
342,2014-07-23,28241.57
343,2014-07-30,29181.760000000002
344,2014-08-06,34602.01
345,2014-08-13,27378.089999999997
346,2014-08-20,34760.869999999995
347,2014-08-27,47402.72
348,2014-09-03,22124.149999999994
349,2014-09-10,33478.840000000004
350,2014-09-17,37331.04
351,2014-09-24,25851.350000000002
352,2014-10-01,32482.26
353,2014-10-08,31831.629999999994
354,2014-10-15,28973.93
355,2014-10-22,30185.199999999997
356,2014-10-29,27345.5
357,2014-11-05,40972.64
358,2014-11-12,98561.08
359,2014-11-19,93485.34
360,2014-11-26,72444.97999999998
361,2014-12-03,18950.9
362,2014-12-10,35846.76
363,2014-12-17,245933.95
364,2014-12-24,39712.5
365,2014-12-31,39815.94
366,2015-01-07,63270.43
367,2015-01-14,79638.64
368,2015-01-21,81744.33
369,2015-01-28,76011.1
370,2015-02-04,52077.53
371,2015-02-11,49879.65
372,2015-02-18,80930.23000000001
373,2015-02-25,77723.05
374,2015-03-04,75188.53
375,2015-03-11,69169.34
376,2015-03-18,66536.7
377,2015-03-25,40200.06
378,2015-04-01,58082.17
379,2015-04-08,68800.20999999999
380,2015-04-15,227252.07
381,2015-04-22,71364.03
382,2015-04-29,29023.879999999997
383,2015-05-06,41006.37000000001
384,2015-05-13,51713.21
385,2015-05-20,51000.600000000006
386,2015-05-27,33646.36
387,2015-06-03,40458.14
388,2015-06-10,28363.52
389,2015-06-17,19101.08
390,2015-06-24,39483.94999999999
391,2015-07-01,27940.619999999995
392,2015-07-08,22125.44
393,2015-07-15,23457.199999999997
394,2015-07-22,26679.469999999998
395,2015-07-29,23126.87
396,2015-08-05,26506.16
397,2015-08-12,31070.93
398,2015-08-19,34346.63
399,2015-08-26,42714.86
400,2015-09-02,16907.230000000003
401,2015-09-09,20492.75
402,2015-09-16,28051.52
403,2015-09-23,26280.329999999998
404,2015-09-30,24160.72
405,2015-10-07,47133.899999999994
406,2015-10-14,24004.75
407,2015-10-21,32092.29
408,2015-10-28,20258.59
409,2015-11-04,21191.68
410,2015-11-11,20465.679999999997
411,2015-11-18,111645.87000000001
412,2015-11-25,95696.18
413,2015-12-02,11780.92
414,2015-12-09,31357.25
415,2015-12-16,57598.22
416,2015-12-23,137428.42
417,2015-12-30,65036.53
418,2016-01-06,64547.34
419,2016-01-13,100026.87
420,2016-01-20,60340.78999999999
421,2016-01-27,55834.20999999999
422,2016-02-03,68103.92
423,2016-02-10,42406.96
424,2016-02-17,50902.52
425,2016-02-24,68280.37
426,2016-03-02,46963.40999999999
427,2016-03-09,25112.480000000003
428,2016-03-16,57745.23999999999
429,2016-03-23,79876.27
430,2016-03-30,30939.92
431,2016-04-06,100705.02
432,2016-04-13,66408.68000000001
433,2016-04-20,60278.84
434,2016-04-27,23181.699999999997
435,2016-05-04,26054.78
436,2016-05-11,92938.26999999999
437,2016-05-18,32995.3
438,2016-05-25,42066.96
439,2016-06-01,50095.729999999996
440,2016-06-08,40011.520000000004
441,2016-06-15,95580.87000000001
442,2016-06-22,77731.67
443,2016-06-29,293679.51999999996
444,2016-07-06,120997.63999999998
445,2016-07-13,99154.60999999999
446,2016-07-20,69149.29
447,2016-07-27,70245.49
448,2016-08-03,29583.04
449,2016-08-10,30129.190000000002
450,2016-08-17,31466.9
451,2016-08-24,48299.619999999995
452,2016-08-31,20259.019999999997
453,2016-09-07,27700.869999999995
454,2016-09-14,44894.850000000006
455,2016-09-21,24657.81
456,2016-09-28,72289.77
457,2016-10-05,58603.270000000004
458,2016-10-12,96060.47
459,2016-10-19,71092.39
460,2016-10-26,73518.45
461,2016-11-02,36940.4
462,2016-11-09,190488.90999999997
463,2016-11-16,94269.34999999999
464,2016-11-23,132528.02000000002
465,2016-11-30,121484.08000000002
466,2016-12-07,99735.93
467,2016-12-14,111051.49
468,2016-12-21,101115.54
469,2016-12-28,37829.06
470,2017-01-04,71938.39
471,2017-01-11,180187.03
472,2017-01-18,110235.37999999999
473,2017-01-25,112646.9
474,2017-02-01,76829.43
475,2017-02-08,75480.64
476,2017-02-15,77599.33
477,2017-02-22,118079.57
478,2017-03-01,82743.41
479,2017-03-08,61943.479999999996
480,2017-03-15,92122.53
481,2017-03-22,77187.54
482,2017-03-29,85058.57
483,2017-04-05,68386.4
484,2017-04-12,63688.850000000006
485,2017-04-19,42982.1
486,2017-04-26,50600.43
487,2017-05-03,39511.170000000006
488,2017-05-10,31908.42
489,2017-05-17,49541.11000000001
490,2017-05-24,47782.009999999995
491,2017-05-31,51922.84
492,2017-06-07,45076.07000000001
493,2017-06-14,60756.219999999994
494,2017-06-21,82509.91
495,2017-06-28,62220.46000000001
496,2017-07-05,48712.700000000004
497,2017-07-12,45882.62
498,2017-07-19,33767.77
499,2017-07-26,35310.47
500,2017-08-02,37688.020000000004
501,2017-08-09,32274.51
502,2017-08-16,33533.59
503,2017-08-23,42480.47
504,2017-08-30,21793.39
505,2017-09-06,19048.57
506,2017-09-13,26870.32
507,2017-09-20,18132.93
508,2017-09-27,30558.780000000002
509,2017-10-04,123134.28
510,2017-10-11,126503.2
511,2017-10-18,139918.73
512,2017-10-25,153888.58000000002
513,2017-11-01,57550.95
514,2017-11-08,69904.31999999999
515,2017-11-15,127423.0
516,2017-11-22,78968.21
517,2017-11-29,105523.5
518,2017-12-06,117072.96
519,2017-12-13,116690.19
520,2017-12-20,117077.95
521,2017-12-27,101305.57
522,2018-01-03,65356.3
523,2018-01-10,103504.63
524,2018-01-17,89603.27
525,2018-01-24,93151.43
526,2018-01-31,89686.4
527,2018-02-07,81761.57
528,2018-02-14,79313.51
529,2018-02-21,62272.03
530,2018-02-28,50222.61
531,2018-03-07,68586.0
532,2018-03-14,52165.799999999996
533,2018-03-21,57445.44
534,2018-03-28,74535.32999999999
535,2018-04-04,73932.49
536,2018-04-11,42700.79
537,2018-04-18,74817.76
538,2018-04-25,46152.549999999996
539,2018-05-02,44049.01
540,2018-05-09,59339.67999999999
541,2018-05-16,34623.270000000004
542,2018-05-23,56469.28
543,2018-05-30,38849.58
544,2018-06-06,32452.76
545,2018-06-13,49412.31
546,2018-06-20,37091.89000000001
547,2018-06-27,50713.219999999994
548,2018-07-04,20818.499999999996
549,2018-07-11,34348.530000000006
550,2018-07-18,26767.89
551,2018-07-25,22552.27
552,2018-08-01,25058.59
553,2018-08-08,41468.399999999994
554,2018-08-15,56958.7
555,2018-08-22,28583.239999999998
556,2018-08-29,19765.030000000002
557,2018-09-05,26945.12
558,2018-09-12,39062.91
559,2018-09-19,33623.43
560,2018-09-26,75102.51
561,2018-10-03,32003.190000000002
562,2018-10-10,211630.21000000002
563,2018-10-17,79475.75
564,2018-10-24,169118.5
565,2018-10-31,93826.20000000001
566,2018-11-07,71515.04
567,2018-11-14,101815.61000000002
568,2018-11-21,168402.40000000002
569,2018-11-28,56622.96
570,2018-12-05,93281.57
571,2018-12-12,117084.73
572,2018-12-19,126254.23999999999
573,2018-12-26,110206.91
574,2019-01-02,110969.35
575,2019-01-09,183011.33000000002
576,2019-01-16,159661.90000000002
577,2019-01-23,113654.72
578,2019-01-30,84832.14
579,2019-02-06,103804.77
580,2019-02-13,98703.77000000002
581,2019-02-20,73697.56999999999
582,2019-02-27,71623.59
583,2019-03-06,79647.36
584,2019-03-13,60287.62999999999
585,2019-03-20,68245.89
586,2019-03-27,53538.659999999996
587,2019-04-03,77346.82
588,2019-04-10,60586.990000000005
589,2019-04-17,58194.37000000001
590,2019-04-24,60934.95000000001
591,2019-05-01,63079.23000000001
592,2019-05-08,61324.46
593,2019-05-15,32974.240000000005
594,2019-05-22,55048.12999999999
595,2019-05-29,58801.86
596,2019-06-05,52392.79
597,2019-06-12,34320.93
598,2019-06-19,43598.32
599,2019-06-26,47810.520000000004
600,2019-07-03,26939.569999999996
601,2019-07-10,22928.89
602,2019-07-17,28593.89
603,2019-07-24,47947.380000000005
604,2019-07-31,54519.14
605,2019-08-07,43595.310000000005
606,2019-08-14,33614.03
607,2019-08-21,25229.790000000005
608,2019-08-28,36957.73
609,2019-09-04,13006.18
610,2019-09-11,23916.88
611,2019-09-18,20629.48
612,2019-09-25,29179.54
613,2019-10-02,26588.63
614,2019-10-09,103637.79000000001
615,2019-10-16,99363.6
616,2019-10-23,203962.5
617,2019-10-30,88906.35999999999
618,2019-11-06,67596.82999999999
619,2019-11-13,130721.2
620,2019-11-20,177886.46
621,2019-11-27,82753.84000000001
622,2019-12-04,79665.37000000001
623,2019-12-11,121176.85
624,2019-12-18,181275.75000000003
625,2019-12-25,87772.44
626,2020-01-01,55755.73
627,2020-01-08,178032.68000000002
628,2020-01-15,141671.17
629,2020-01-22,132224.88999999998
630,2020-01-29,86056.93
631,2020-02-05,87541.47
632,2020-02-12,78322.57999999999
633,2020-02-19,66433.21
634,2020-02-26,74926.62000000001
635,2020-03-04,68381.59
636,2020-03-11,55728.74
637,2020-03-18,51738.600000000006
638,2020-03-25,47313.56
639,2020-04-01,52668.37
640,2020-04-08,51846.98
641,2020-04-15,66744.72
642,2020-04-22,38092.73
643,2020-04-29,45758.69
644,2020-05-06,37432.35
645,2020-05-13,36269.98
646,2020-05-20,29200.75
647,2020-05-27,19322.54
648,2020-06-03,27254.910000000003
649,2020-06-10,28656.36
650,2020-06-17,32712.449999999997
651,2020-06-24,39540.71
652,2020-07-01,25722.49
653,2020-07-08,18680.260000000002
654,2020-07-15,41378.02
655,2020-07-22,16862.91
656,2020-07-29,30315.38
657,2020-08-05,74816.12
658,2020-08-12,33318.3
659,2020-08-19,33801.97
660,2020-08-26,25564.440000000002
661,2020-09-02,79563.36
662,2020-09-09,31191.9
663,2020-09-16,38242.119999999995
664,2020-09-23,41152.340000000004
665,2020-09-30,304454.64
666,2020-10-07,263999.9
667,2020-10-14,247737.84000000005
668,2020-10-21,217909.22
669,2020-10-28,315061.9799999999
670,2020-11-04,119547.14999999998
671,2020-11-11,88736.04000000001
672,2020-11-18,97013.43
673,2020-11-25,177819.90000000002
674,2020-12-02,61841.89
675,2020-12-09,186781.72
676,2020-12-16,142664.93
677,2020-12-23,113317.38
678,2020-12-30,33999.37
679,2021-01-06,130181.44
680,2021-01-13,67854.1
